Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Price_Clean,Date_Clean,Returned,Complaint_Count,Subject,Message_Body,Complaint_Category,Sentiment
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.20,1,Paid,919.2,2023-11-24,False,0.0,,,None,None
100061,2023-11-17,C0002,Electronics,Laptop X,"1598,23 EUR",1,Paid,1598.23,2023-11-17,False,0.0,,,None,None
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,2023-12-14,False,4.0,Refund for my purchase | Battery dies in 2 days | Can't connect the app | NordLock Pro battery drains fast,"I want to return this product.<br>It is not working.<br>I need my money back.<br><br>Sent from my Android device

My order #101131. | My smart lock dies in 48 hours.<br>I changed batteries and it still dies.<br>This is unacceptable.<br>Also: dead battery.<br><br>Sent from my iPhone

My order #101131. | <p>The app cannot connect to the lock.
I tried resetting but it fails.
Please advise.

Sent from my iPhone</p>

Order number: 101131 | <p>My NordLock Pro dies in 2 days.
I changed batteries and it still drains quickly.
I can't rely on this.

Sent from my iPhone</p>

My order #101131.",Battery Issue,Negative
100391,28/11/2023,C0001,Smart Home,NordTherm,$101.68,1,Paid,101.68,2023-11-28,False,0.0,,,None,None
100319,2023-11-27,C0004,Accessories,Phone Case,"35,72 EUR",1,Paid,35.72,2023-11-27,False,0.0,,,None,None
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,230.36,2023-12-09,False,0.0,,,None,None
100105,2023-11-19,C0056,Smart Home,NordCam Mini,"82,40 EUR",1,Paid,82.4,2023-11-19,False,0.0,,,None,None
100603,2023-12-04,C0002,Electronics,Laptop X,"1771,94 EUR",1,Paid,1771.94,2023-12-04,False,0.0,,,None,None
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,210.88,2023-11-28,False,0.0,,,None,None
100563,2023-12-03,C0008,Electronics,Smartphone Z,855.14,1,Paid,855.14,2023-12-03,True,0.0,,,None,None
100366,2023-11-28,C0004,Electronics,Smartphone Z,1024.64,1,Paid,1024.64,2023-11-28,False,0.0,,,None,None
100996,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,222.61,2023-12-12,False,0.0,,,None,None
100043,16/11/2023,C0002,Electronics,TV Pro,$1164.30,1,Paid,1164.3,2023-11-16,False,0.0,,,None,None
100725,2023-12-06,C0003,Accessories,Laptop Sleeve,27.13,2,Paid,27.13,2023-12-06,False,0.0,,,None,None
100456,2023-11-30,C0001,Smart Home,NordTherm,"105,45 EUR",1,Paid,105.45,2023-11-30,False,0.0,,,None,None
100537,2023-12-02,C0030,Electronics,NoiseCancel Headphones,"290,46 EUR",1,Paid,290.46,2023-12-02,False,1.0,Tracking shows no updates,"My delivery is delayed.<br>Tracking shows pending.<br>Where is my order?<br><br>Sent from my Android device

Order number: 100537",Delivery,Neutral
101176,2023-11-24,C0017,Accessories,Phone Case,"34,84 EUR",1,Paid,34.84,2023-11-24,False,0.0,,,None,None
101058,2023-12-13,C0001,Electronics,Laptop X,"1504,82 EUR",1,Paid,1504.82,2023-12-13,False,0.0,,,None,None
100032,2023-11-16,C0094,Electronics,Laptop X,$1585.05,1,Paid,1585.05,2023-11-16,False,0.0,,,None,None
100455,2023-11-30,C0117,Smart Home,NordLock Pro,205.04,2,Paid,205.04,2023-11-30,False,3.0,NordLock Pro battery drains fast | App cannot connect to WiFi | Battery problem with my lock,"My NordLock Pro dies in 48 hours.<br>I changed batteries and it still drains quickly.<br>I can't rely on this.<br><br>Sent from my iPhone

Order number: 100455 | <p>The app will not connect to WiFi.
I tried pairing again but it fails.
Please advise.

Sent from my Android device</p>

Ref: TX-100455 | My NordLock Pro battery drains in a day.
I changed batteries and it still dies.
Please help ASAP.

<br><br>--<br>NordTech Customer

My order #100455.",Battery Issue,Negative
100354,2023-11-28,C0002,Smart Home,NordLock Pro,"201,09 EUR",1,Paid,201.09,2023-11-28,False,0.0,,,None,None
101181,08/12/2023,C0006,Accessories,Accessory Bundle,27.11,1,Paid,27.11,2023-12-08,False,0.0,,,None,None
100062,17/11/2023,C0001,Smart Home,NordLock Pro,221.97,1,Paid,221.97,2023-11-17,False,0.0,,,None,None
100858,09/12/2023,C0001,Electronics,TV Pro,1060.25,1,Failed,1060.25,2023-12-09,False,0.0,,,None,None
